Green Bond issuer;Country;Market Information Template;External Review Form;External Review Report;External links (NB: Please use the links for most up to date information);;
ABN AMRO (2015);Netherlands;;;oekom research;https://www.abnamro.com/en/investor-relations/debt-investors/unsecured-funding/euro-medium-term-notes-greenbonds.html#true;;
ABN AMRO (2016);Netherlands;;;oekom research;https://www.abnamro.com/en/investor-relations/debt-investors/unsecured-funding/euro-medium-term-notes-greenbonds.html#true;;
AC Energy Finance Supra-national;Philippines;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.acenergy.com.ph/sustainability/;;
Acea S.p.A;Italy;;;ISS ESG;https://www.gruppo.acea.it/investitori;;
ACS SCE;Spain;April 2018;;VIGEO EIRIS;http://acsindustria.com/;;
Activia Properties Inc.;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.activia-reit.co.jp/en/sustainability/greenbond.html;;
Adani Green Energy;India;;;KPMG;https://www.adanigreenenergy.com/investors/investor-downloads;;
ADIF - Alta Velocidad;Spain;June 2017;CICERO/ENSO;CICERO/ENSO;http://www.adifaltavelocidad.es/en_US/empresas_servicios/portal_del_inversor/informacion_medioambiental/informacion_medioambiental.shtml;;
Advance Residence Investment Corporation;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.adr-reit.com/en/financial/bond/;;
Advanced SolTech Sweden AB;Sweden;;;CICERO;http://www.soltechenergy.com/en/green-bonds/;;
AEON Financial Service;Japan;;Japan Credit Rating Agency;;http://www.aeonfinancial.co.jp/eng/activity/index.html;;
Aeroporti di Roma S.p.A;Italy;;;DNV;https://www.adr.it/fr/web/aeroporti-di-roma-en-/green-financing-framework;;
Africa Finance Corporation;Nigeria;November 2020;;ISS ESG;https://www.africafc.org/sustainability/green-bond/;;
African Development Bank;Supra-national;September 2016;;CICERO;http://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/green-bond-program/;;
Agder Energi ;Norway;;;CICERO;https://www.ae.no/finansiell-informasjon/;;
Agence Française de Développement (AFD) (2014);France;;;VIGEO EIRIS;https://www.afd.fr/fr/espace-investisseurs;;
Agence Française de Développement (AFD) (2017);France;;;CICERO;https://www.afd.fr/fr/espace-investisseurs;;
Agricultural Bank of China ltd.;China;September 2016;;Deloitte;http://www.abchina.com/en/investor-relations/greendbond/;;
Agricultural Development Bank of China;China;;;CICERO;http://www.adbc.com.cn/en/;;
Akademiska Hus;Sweden;;CICERO;CICERO;https://www.akademiskahus.se/en/about-us/financial-information/financing/green-financing/;;
Akershus Energi;Norway;;;CICERO;https://akershusenergi.no/finansiell-informasjon/;;
ALD Automotive;France;;;VIGEO EIRIS;https://www.aldautomotive.com/investors/information-and-publications/debt-investors;;
Alliander NV (2016);Netherlands;;;oekom research;https://www.alliander.com/en/investors/financing/green-bonds;;
Alliander NV (2019);Netherlands;;;ISS-oekom;https://www.alliander.com/en/investors/financing/green-bonds;;
Alliander NV (2020);Netherlands;;;ISS ESG;https://www.alliander.com/en/investors/financing/green-bonds;;
Alperia SpA;Italia;;;DNV;http://www.alperiagroup.eu/en/topmenu/investor-relations/emtn-document/emtn-document.html;;
Alpha Trains;Luxembourg;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.alphatrains.eu/en/investors/index.php#top;;
American Municipal Power (Combined hydro projects);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.ampinvestorrelations.com/combined-hydro-project/bonds/i4044;;
American Municipal Power (Meldahl hydro);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.ampinvestorrelations.com/meldahl-hydro-project/bonds/i4059;;
ANA HOLDINGS INC.;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.ana.co.jp/group/en/pr/201809/20180928.html;;
Analog Devices, Inc.;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investor.analog.com/financial-info/annual-reports;;
Anglian Water;UK;;;DNV;http://www.anglianwater.co.uk/about-us/investors/anglian-water-services/aws-green-bond-framework.aspx;;
Apple Inc. (2016);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://investor.apple.com/financials.cfm;;
Apple Inc. (2019);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://investor.apple.com/financials.cfm;;
Aquafin (2015);Belgium;;;CICERO;https://www.aquafin.be/en/green-finance;;
Aquafin (2020);Belgium;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.aquafin.be/en/green-finance;;
Arab Republic of Egypt;Egypt;;;VIGEO EIRIS;http://www.mof.gov.eg/English/Pages/Green-Bond-Documentation.aspx;;
Arendals Fossekompani ASA;Norway;;;CICERO;https://arendalsfossekompani.no/en/investor-information/;;
ARKEMA;France;October 2020;VIGEO EIRIS;VIGEO EIRIS;https://www.arkema.com/global/en/investor-relations/regulated-information/;;
Arthaland Corporation;Philippines;;;VIGEO EIRIS;https://www.arthaland.com.ph/investor-relations/general-information;;
Arwidsro Fastighets;Sweden;;CICERO;CICERO;https://arwidsro.se/ir/gront-ramverk/;;
Asahi Holdings, Inc.;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.asahiholdings.com/english/sustainability/;;
Asian Development Bank (ADB);Supra-national;;;CICERO;https://www.adb.org/site/investors/adb-green-bonds;;
Assicurazioni Generali ;Italy;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.generali.com/investors/debt-ratings/green-bond-framework;;
Atlantica;UK;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.atlantica.com/web/en/investors/green-financing/;;
Atrium Ljungberg;Sweden;;;CICERO;http://al.se/en/investor-relations/financing/green-bonds/;;
Auckland Council;New Zealand;;;E&Y;https://www.aucklandcouncil.govt.nz/about-auckland-council/business-in-auckland/Pages/investor-centre.aspx;;
Audax Renovables;Spain;April 2020;VIGEO EIRIS;VIGEO EIRIS;https://www.audaxrenovables.com/en/reports/;;
Australia and New Zealand Banking Group Limited (ANZ);Australia;;;E&Y;https://www.anz.com/debtinvestors/centre/green-sustainability-bonds/;;
Axpo Holding AG;Switzerland;;;ISS ESG;https://www.axpo.com/fr/en/about-us/investor-relations/green-bond.html;;
Banco Atlántida;Honduras;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bancatlan.hn/greenbondframework/;;
Banco Bilbao Vizcaya Argentaria S.A (BBVA);Spain;May 2018;;DNV;https://shareholdersandinvestors.bbva.com/wp-content/uploads/2018/04/BBVA-SDGs-Bond-Framework_23042018_Eng.pdf ;;
Banco Davivienda ;Colombia;September 2018;Ernst & Young Audit S.A.S. (EY) Colombia;;https://www.davivienda.com/wps/portal/personas/nuevo/sostenibilidad/en/Inicio/home/!ut/p/z1/nZJRT4MwEIB_iw97JFdaHOOR4YiZwUXJNugLKaWwmtGyUZn-e-vik2ZMvbfLfb3cfVegkAFVbJANM1Irtrd5TqcFmT15j8s5TtLUX6Dwbr5JUEzwKkKwPQPoQoQI6G_ejwB0vP0GKNCOywpyDyOMK8YczmvheJiXDmOEOZUvXMIDhoVbf9Jcmc7sID_xtlCvYtBFr3sjlCzlXlasmqDvuVTNXvQTtNOtsBPT0aUeyBXAu_0BxAFBYYLSKAxWLor9L2Bk79x68y97c2E7SHGCtdLH1t4x_aOmewTLa6ezf0O-HA40tEq1MuLNQPZPp7YVPiZR0tghmdk5UtUasnOpa9frdkamz4s6WRCPlu-nmw8imPtl/dz/d5/L2dBISEvZ0FBIS9nQSEh/;;
Banco de Bogotá S.A.;Colombia;October 2020;Ernst & Young;Ernst & Young;https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/investor-relations/issuances/bonds;;
Banco de Comercio Exterior de Colombia S.A.;Colombia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bancoldex.com/informacion-de-interes-para-accionistas-e-inversionistas/emisiones-2336;;
Banco Mercantil del Norte S.A. ;Mexico;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investors.banorte.com/en/sustainability/resources/policies-and-procedures;;
