ISIN	CO2 2021	CO2 2015	ESG Score 2015	ESG Score 2016	ESG Score 2017	ESG Score 2018	ESG Score 2019	ESG Score 2020	ESG Score 2021
IT0005330821	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0125644684	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013420296	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005348732	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0013420890	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0126283961	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0123806491	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0125044778	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005373102	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0126287905	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005201865	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005372740	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
FR0013264884	606240	#N/A	NULL	38,03386948	NULL	NULL	NULL	NULL	60,90430126
IT0005336489	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005256737	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013322120	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0123825806	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0123825814	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013476397	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0125772345	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0123825848	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005202699	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005338014	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005377202	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0123909105	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AT0000A1JY13	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005359143	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
FR0125821928	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0125849747	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005380008	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013358116	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013444841	169482	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	87,04955652
FI4000348966	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0123970230	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0123980841	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0012969020	929929	997734	86,56042332	83,26005436	86,14927815	85,13471038	89,49478701	88,54990351	88,54990351
IT0005342081	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005344905	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005216038	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005215568	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005215550	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SK4120012063	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013044294	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005347312	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005347395	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0013218138	154843	154023	56,51332489	52,66353229	58,57009518	60,36307161	66,67190031	74,59724761	74,59724761
FR0013218153	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005387276	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
FR0013053899	56470809	#N/A	66,38090417	67,55642073	67,60034037	68,41449632	78,37015425	77,37354285	77,37354285
IT0005352916	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0013515137	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005350639	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005350613	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0013465325	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005353153	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005316960	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SK4120012410	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005354102	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005355307	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
ES0352506242	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ES0352506309	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PTBSSKOM0003	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013230737	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013396496	1302681	1393282	70,73339217	72,29231895	67,18825323	72,76222981	74,42938382	82,77544062	82,77544062
FR0013396777	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0126048026	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013365491	169482	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	87,04955652
FR0013479086	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013479227	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013233400	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005398380	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005357089	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005357832	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005357824	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005240335	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013528775	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0125402778	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0126432931	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005402943	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BE6276562806	49356	78673	64,83385215	68,95259259	74,14060244	71,85955067	76,46934554	79,95993699	79,95993699
IT0005360091	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005360083	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
ES0352506275	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ES0352506325	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005161358	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005358723	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005161689	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
FR0013494242	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005363764	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0013260486	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0124373749	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0126438623	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ES0378641288	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013409307	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013409836	929929	997734	86,56042332	83,26005436	86,14927815	85,13471038	89,49478701	88,54990351	88,54990351
FR0126462326	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013246105	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PTNOSBOE0004	67934	#N/A	42,18922958	50,88512284	51,59223513	58,3234969	70,12117329	65,32183805	65,32183805
ES03138603C7	2436,44	13442	59,96353489	68,76991168	64,57219125	60,74443388	71,56310297	70,11413186	75,45365195
XS1533918584	1027	#N/A	7,24592626	16,05146911	NULL	NULL	20,16346595	32,34217666	42,88338952
IT0005364796	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005364986	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005364994	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0013246675	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013246725	31500000	34700000	73,09193876	79,73989681	80,57203343	79,67569263	79,8237317	83,30394294	83,30394294
SK4120012675	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005163339	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005163677	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005364648	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005090045	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
FR0013507837	154843	154023	56,51332489	52,66353229	58,57009518	60,36307161	66,67190031	74,59724761	74,59724761
IT0005325888	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FI4000378740	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BE6276055587	10643	9749,13	63,06246946	NULL	NULL	NULL	NULL	76,73133262	73,1835846
FR0013416575	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SK4120012816	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005366650	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013378445	102750	67310	62,59504876	67,37306894	61,88405128	70,61778409	72,05060229	65,47412128	65,47412128
IT0005114357	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005114365	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005104572	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
IT0005176398	195777	313771	81,07700472	84,83505158	81,70135834	77,55126743	87,39865911	87,06127445	84,12921637
FR0013257565	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013514213	80345	#N/A	NULL	70,03223204	NULL	NULL	79,25089748	NULL	82,20407606
SK4120012873	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013422003	169482	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	87,04955652
IT0005117095	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005370611	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
FR0013422052	230000	250157	45,30023717	43,67227526	46,69512992	47,67945892	52,44776456	59,32097381	59,32097381
XS1422841202	21460	#N/A	NULL	NULL	66,27195263	NULL	69,82283281	NULL	65,50521369
FR0123825533	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0126585597	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BE6295617268	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013260445	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013260882	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013424850	49396	87229	80,15441864	82,92021947	87,39115637	84,20641413	82,78417528	85,8716622	85,8716622
SK4000015319	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013342664	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013517166	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ES0378641213	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ES0315306011	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005108243	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
IT0005187890	56309	#N/A	NULL	25,8311037	30,30507256	NULL	57,06777352	NULL	70,84268245
IT0005373003	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0124469513	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005377038	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005333601	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013266236	780018	260439	55,50939813	56,22658315	64,18106098	76,68395018	70,2470817	67,25102916	67,25102916
FR0013266343	14291	35304	77,41003281	NULL	NULL	NULL	NULL	84,46920305	87,01000006
ES0213860275	2436,44	13442	59,96353489	68,76991168	64,57219125	60,74443388	71,56310297	70,11413186	75,45365195
FR0013480092	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ES03138602X5	2436,44	13442	59,96353489	68,76991168	64,57219125	60,74443388	71,56310297	70,11413186	75,45365195
SK4120013087	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FR0013526167	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005377194	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
IT0005377228	190369	111737	69,79974103	NULL	79,73860326	79,48641212	74,43630009	77,35190409	73,02045215
ES0305067839	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT0005379455	11552,81	1410	36,83270859	43,3112599	40,80132939	45,75906539	60,92704912	54,14509045	54,14509045
FR0013528726	#N/A	#N/A	NULL	NULL	NULL	NULL	NULL	NULL	NULL
