Issuer	Ticker	Coupon	Maturity	Issue Date	ISIN	Country of Issue	Legal Entity ID (LEI)
Banco di Desio e della Brianza SpA	DESI	1,00	10/05/2021	10/05/2018	IT0005330821	Italy	81560026D234790EB288
Axa Banque SA	AXAFDB	-0,23	10/05/2021	10/05/2019	FR0125644684	France	969500CJCTMI93QJKK89
La Banque Postale SA	CDCECE	0,55	17/05/2021	17/05/2019	FR0013420296	France	96950066U5XAAIRCPA78
Intesa Sanpaolo SpA	ISP	1,45	20/05/2021	20/11/2018	IT0005348732	Italy	2W8N8UU78PMDQKZENC08
Bpce SA	BPCSA	0,17	24/05/2021	23/05/2019	FR0013420890	France	9695005MSX1OYEMGDF46
Allianz Banque SA	ALVGFA	--	2/06/2021	2/06/2020	FR0126283961	France	969500B1EE98I4QA2X57
Banque Populaire Auvergne Rhone Alpes SA	BPCEBN	1,19	3/06/2021	3/06/2016	FR0123806491	France	969500JM7VIGQIPZOL49
Credit du Nord SA	SOGDN	0,00	8/06/2021	8/06/2018	FR0125044778	France	54930076YK05WVH25M52
Intesa Sanpaolo SpA	ISP	1,00	11/06/2021	11/06/2019	IT0005373102	Italy	2W8N8UU78PMDQKZENC08
Axa Banque SA	AXAFDB	--	11/06/2021	12/06/2020	FR0126287905	France	969500CJCTMI93QJKK89
Intesa Sanpaolo SpA	ISP	0,48	23/06/2021	23/06/2016	IT0005201865	Italy	2W8N8UU78PMDQKZENC08
Mediobanca Banca di Credito Finanziario SpA	MDBI	2,00	27/06/2021	27/06/2019	IT0005372740	Italy	PSNL19R2RXX5U3QWHI44
Safran SA	SAF	0,03	28/06/2021	28/06/2017	FR0013264884	France	969500UIC89GT3UL7L24
Intesa Sanpaolo SpA	ISP	1,00	29/06/2021	29/06/2018	IT0005336489	Italy	2W8N8UU78PMDQKZENC08
Banco di Desio e della Brianza SpA	DESI	1,00	10/07/2021	10/07/2017	IT0005256737	Italy	81560026D234790EB288
RCI Banque SA	RENARB	0,25	12/07/2021	12/03/2018	FR0013322120	France	96950001WI712W7PQG45
Caisse Regionale de Credit Agricole Mutuel Atlantique Vendee SC	CALCX	0,36	15/07/2021	15/07/2016	FR0123825806	France	969500B5DNR7Q1ACGD23
Caisse Reg Credit Agri Mutuel Aquitaine SC	CRHNF	0,38	15/07/2021	15/07/2016	FR0123825814	France	969500X8MO6M37C47827
Banque Federative du Credit Mutuel SA	CAFDDC	0,47	16/07/2021	16/01/2020	FR0013476397	France	VBHFXSYT7OG62HNT8T76
CA Consumer Finance SA	CAGRCN	0,00	19/07/2021	19/07/2019	FR0125772345	France	969500GDYGB7Y20PP765
Caisse Regionale de Credit Agricole Mutuel Brie Picardie	CRBPB	0,39	19/07/2021	19/07/2016	FR0123825848	France	969500FYEXW795NPJO79
Intesa Sanpaolo SpA	ISP	0,84	21/07/2021	21/07/2016	IT0005202699	Italy	2W8N8UU78PMDQKZENC08
Intesa Sanpaolo SpA	ISP	1,00	31/07/2021	31/07/2018	IT0005338014	Italy	2W8N8UU78PMDQKZENC08
Intesa Sanpaolo SpA	ISP	1,00	31/07/2021	31/07/2019	IT0005377202	Italy	2W8N8UU78PMDQKZENC08
