ISIN	Date	Before2020
XS1088274169	2017-06-23	True
XS1088274672	2017-06-23	True
XS1144492532	2017-06-23	True
XS1571982468	2017-06-23	True
XS0859920406	2017-06-23	True
XS0951567030	2017-06-23	True
XS1004874621	2017-06-23	True
XS1195347478	2017-06-23	True
XS1581375182	2017-06-23	True
XS0763122578	2017-06-23	True
XS1402941790	2017-06-23	True
XS1613121422	2017-06-23	True
ES0211845203	2017-06-23	True
ES0211845252	2017-06-23	True
ES0211845260	2017-06-23	True
ES0211845294	2017-06-23	True
ES0211845302	2017-06-23	True
ES0211845310	2017-06-23	True
XS0495012428	2017-06-23	True
XS0970840095	2017-06-23	True
XS1087831688	2017-06-23	True
XS1508912646	2017-06-23	True
XS0995111761	2017-06-23	True
XS1237184533	2017-06-23	True
XS1527526799	2017-06-23	True
XS0805452405	2017-06-23	True
XS1529854793	2017-06-23	True
XS1004236185	2017-06-23	True
XS1627947440	2017-06-23	True
FR0010908905	2017-06-23	True
FR0011344076	2017-06-23	True
FR0011521277	2017-06-23	True
FR0011951771	2017-06-23	True
FR0012766889	2017-06-23	True
FR0013153822	2017-06-23	True
FR0013182805	2017-06-23	True
FR0013182821	2017-06-23	True
FR0013182839	2017-06-23	True
FR0013182847	2017-06-23	True
FR0013241346	2017-06-23	True
FR0010948257	2017-06-23	True
FR0011439835	2017-06-23	True
XS1050846507	2017-06-23	True
XS1128224703	2017-06-23	True
XS1410582313	2017-06-23	True
XS1410582586	2017-06-23	True
XS0719962986	2017-06-23	True
XS1134519120	2017-06-23	True
XS1391625289	2017-06-23	True
XS0792977984	2017-06-23	True
XS0854759080	2017-06-23	True
XS1400167133	2017-06-23	True
DE000A1AKHB8	2017-06-23	True
DE000A1G0RU9	2017-06-23	True
DE000A1HG1J8	2017-06-23	True
DE000A180B72	2017-06-23	True
XS1323052180	2017-06-23	True
XS1346695437	2017-06-23	True
XS1322048619	2017-06-23	True
XS1501162876	2017-06-23	True
XS1616407869	2017-06-23	True
BE6276038419	2017-06-23	True
BE6285450449	2017-06-23	True
BE6221503202	2017-06-23	True
BE6243179650	2017-06-23	True
BE6243180666	2017-06-23	True
BE6258027729	2017-06-23	True
BE6265140077	2017-06-23	True
BE6265141083	2017-06-23	True
BE6265142099	2017-06-23	True
BE6291424040	2017-06-23	True
BE6242927075	2017-06-23	True
BE6257983286	2017-06-23	True
XS0972530561	2017-06-23	True
XS1405774990	2017-06-23	True
XS1405780963	2017-06-23	True
XS1527556192	2017-06-23	True
XS0452314536	2017-06-23	True
XS1014759648	2017-06-23	True
XS1449707055	2017-06-23	True
XS1558491855	2017-06-23	True
FR0010491720	2017-06-23	True
FR0010737882	2017-06-23	True
FR0010883058	2017-06-23	True
FR0011119775	2017-06-23	True
FR0011394907	2017-06-23	True
