ISIN	CO2	CO2	ESG Score 2015	ESG Score 2016	ESG Score 2017	ESG Score 2018	ESG Score 2019	ESG Score 2020	ESG Score 2021	Green Bond Flag	ISO 14000 or EMS Certified	EMS Certified Percent													
XS1088274169	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1088274672	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1144492532	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1571982468	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0859920406	0	859,4872917	NULL	61,42910738	0	64,56604526	70,56038859	66,62823177	81,29017523	N	Both	NULL													
XS0951567030	0	859,4872917	NULL	61,42910738	0	64,56604526	70,56038859	66,62823177	81,29017523	N	Both	NULL													
XS1004874621	0	859,4872917	NULL	61,42910738	0	64,56604526	70,56038859	66,62823177	81,29017523	N	Both	NULL													
XS1195347478	0	859,4872917	NULL	61,42910738	0	64,56604526	70,56038859	66,62823177	81,29017523	N	Both	NULL													
XS1581375182	0	859,4872917	NULL	61,42910738	0	64,56604526	70,56038859	66,62823177	81,29017523	N	Both	NULL													
XS0763122578	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1402941790	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1613121422	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
ES0211845203	37,52271409	20,91666175	52,68220151	56,43223741	60,87430288	59,09662496	59,09662496	59,09662496	59,09662496	N	ISO 14000	28													
ES0211845252	37,52271409	20,91666175	52,68220151	56,43223741	60,87430288	59,09662496	59,09662496	59,09662496	59,09662496	N	ISO 14000	28													
ES0211845260	37,52271409	20,91666175	52,68220151	56,43223741	60,87430288	59,09662496	59,09662496	59,09662496	59,09662496	N	ISO 14000	28													
ES0211845294	37,52271409	20,91666175	52,68220151	56,43223741	60,87430288	59,09662496	59,09662496	59,09662496	59,09662496	N	ISO 14000	28													
ES0211845302	37,52271409	20,91666175	52,68220151	56,43223741	60,87430288	59,09662496	59,09662496	59,09662496	59,09662496	N	ISO 14000	28													
ES0211845310	37,52271409	20,91666175	52,68220151	56,43223741	60,87430288	59,09662496	59,09662496	59,09662496	59,09662496	N	ISO 14000	28													
XS0495012428	0	206,5937068	NULL	66,69879737	0	0	0	76,46656743	73,01402785	N	ISO 14000	NULL													
XS0970840095	0	206,5937068	NULL	66,69879737	0	0	0	76,46656743	73,01402785	N	ISO 14000	NULL													
XS1087831688	0	206,5937068	NULL	66,69879737	0	0	0	76,46656743	73,01402785	N	ISO 14000	NULL													
XS1508912646	0	206,5937068	NULL	66,69879737	0	0	0	76,46656743	73,01402785	N	ISO 14000	NULL													
XS0995111761	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1237184533	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1527526799	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0805452405	1,368850033	1,058066486	65,65931813	69,94003149	66,60657242	78,04358401	77,50141766	72,21847057	74,97173531	N	ISO 14000	NULL													
XS1529854793	1,368850033	1,058066486	65,65931813	69,94003149	66,60657242	78,04358401	77,50141766	72,21847057	74,97173531	N	ISO 14000	NULL													
XS1004236185	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1627947440	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0010908905	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0011344076	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0011521277	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0011951771	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0012766889	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013153822	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013182805	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013182821	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013182839	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013182847	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013241346	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0010948257	1236,561696	1098,024179	58,62123363	63,55964715	58,94168859	62,02472193	68,37696434	77,33317878	74,71006969	N	ISO 14000	NULL													
FR0011439835	1236,561696	1098,024179	58,62123363	63,55964715	58,94168859	62,02472193	68,37696434	77,33317878	74,71006969	N	ISO 14000	NULL													
XS1050846507	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1128224703	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1410582313	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1410582586	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0719962986	0	23,21415726	NULL	71,59857219	76,9975073	73,15400179	67,67805783	77,45830912	69,20166755	N	ISO 14000	100													
XS1134519120	0	23,21415726	NULL	71,59857219	76,9975073	73,15400179	67,67805783	77,45830912	69,20166755	N	ISO 14000	100													
XS1391625289	0	23,21415726	NULL	71,59857219	76,9975073	73,15400179	67,67805783	77,45830912	69,20166755	N	ISO 14000	100													
XS0792977984	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0854759080	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1400167133	0	0	NULL	0	0	0	0	0	0	Y	NULL	NULL													
DE000A1AKHB8	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A1G0RU9	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A1HG1J8	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A180B72	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1323052180	0	50,41003976	NULL	0	0	62,16179366	71,28943552	82,11345447	82,11345447	N	No	NULL													
XS1346695437	0	50,41003976	NULL	0	0	62,16179366	71,28943552	82,11345447	82,11345447	N	No	NULL													
XS1322048619	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1501162876	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1616407869	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE6276038419	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6285450449	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
