ISIN	NCB	ISSUER	Maturity Date	Coupon Rate	Legal Entity ID			
XS1088274169	IT	2i Rete Gas S.p.A.	16/07/2019	1,75	549300RV0WBR05UTDI91			
XS1088274672	IT	2i Rete Gas S.p.A.	16/07/2024	3	549300RV0WBR05UTDI91			
XS1144492532	IT	2i Rete Gas S.p.A.	2/01/2020	1,125	549300RV0WBR05UTDI91			
XS1571982468	IT	2i Rete Gas S.p.A.	28/08/2026	1,75	549300RV0WBR05UTDI91			
XS0859920406	IT	A2A S.p.A.	28/11/2019	4,5	81560076E3944316DB24			
XS0951567030	IT	A2A S.p.A.	10/01/2021	4,375	81560076E3944316DB24			
XS1004874621	IT	A2A S.p.A.	13/01/2022	3,625	81560076E3944316DB24			
XS1195347478	IT	A2A S.p.A.	25/02/2025	1,75	81560076E3944316DB24			
XS1581375182	IT	A2A S.p.A.	16/03/2024	1,25	81560076E3944316DB24			
XS0763122578	BE	ABB Finance B.V.	26/03/2019	2,625	5493004JXXFB454B6L79			
XS1402941790	BE	ABB Finance B.V.	3/05/2023	0,625	5493004JXXFB454B6L79			
XS1613121422	BE	ABB Finance B.V.	16/05/2024	0,75	5493004JXXFB454B6L79			
ES0211845203	ES	Abertis Infraestructuras SA	30/03/2020	4,375	549300GKFVWI02JQ5332			
ES0211845252	ES	Abertis Infraestructuras SA	25/10/2019	4,75	549300GKFVWI02JQ5332			
ES0211845260	ES	Abertis Infraestructuras SA	20/06/2023	3,75	549300GKFVWI02JQ5332			
ES0211845294	ES	Abertis Infraestructuras SA	27/02/2025	2,5	549300GKFVWI02JQ5332			
ES0211845302	ES	Abertis Infraestructuras SA	20/05/2026	1,375	549300GKFVWI02JQ5332			
ES0211845310	ES	Abertis Infraestructuras SA	27/02/2027	1	549300GKFVWI02JQ5332			
XS0495012428	IT	ACEA S.p.A.	16/03/2020	4,5	549300Q3448N041CTH56			
XS0970840095	IT	ACEA S.p.A.	12/09/2018	3,75	549300Q3448N041CTH56			
XS1087831688	IT	ACEA S.p.A.	15/07/2024	2,625	549300Q3448N041CTH56			
XS1508912646	IT	ACEA S.p.A.	24/10/2026	1	549300Q3448N041CTH56			
XS0995111761	BE	Achmea B.V.	19/11/2020	2,5	7245007QUMI1FHIQV531			
XS1237184533	BE	Adecco Intl Fin. Serv. B.V.	22/11/2022	1,5	549300PDNGPM4PIAUK57			
XS1527526799	BE	Adecco Intl Fin. Serv. B.V.	2/12/2024	1	549300PDNGPM4PIAUK57			
XS0805452405	BE	Aegon NV	18/07/2017	3	O4QK7KMMK83ITNTHUG69			
XS1529854793	BE	Aegon NV	8/12/2023	1	O4QK7KMMK83ITNTHUG69			
XS1004236185	IT	Aeroporti di Roma S.p.A.	20/02/2021	3,25	8156007259ABDEA3F444			
XS1627947440	IT	Aeroporti di Roma S.p.A.	8/06/2027	1,625	8156007259ABDEA3F444			
FR0010908905	FR	Air Liquide Finance	9/06/2020	3,889	549300YGXL5Z3R14K812			
FR0011344076	FR	Air Liquide Finance	15/10/2021	2,125	549300YGXL5Z3R14K812			
FR0011521277	FR	Air Liquide Finance	17/06/2019	1,5	549300YGXL5Z3R14K812			
FR0011951771	FR	Air Liquide Finance	5/06/2024	1,875	549300YGXL5Z3R14K812			
FR0012766889	FR	Air Liquide Finance	3/06/2025	1,25	549300YGXL5Z3R14K812			
FR0013153822	FR	Air Liquide Finance	18/04/2022	0,375	549300YGXL5Z3R14K812			
FR0013182805	FR	Air Liquide Finance	13/06/2020	0,125	549300YGXL5Z3R14K812			
FR0013182821	FR	Air Liquide Finance	13/06/2022	0,5	549300YGXL5Z3R14K812			
FR0013182839	FR	Air Liquide Finance	13/06/2024	0,75	549300YGXL5Z3R14K812			
FR0013182847	FR	Air Liquide Finance	13/06/2028	1,25	549300YGXL5Z3R14K812			
