ISIN	ICB Industry name	ICB Sector name	ICB Supersector name
XS1088274169	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1088274672	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1144492532	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1571982468	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0859920406	Utilities	Electricity	Utilities
XS0951567030	Utilities	Electricity	Utilities
XS1004874621	Utilities	Electricity	Utilities
XS1195347478	Utilities	Electricity	Utilities
XS1581375182	Utilities	Electricity	Utilities
XS0763122578	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1402941790	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1613121422	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
ES0211845203	NULL	NULL	NULL
ES0211845252	NULL	NULL	NULL
ES0211845260	NULL	NULL	NULL
ES0211845294	NULL	NULL	NULL
ES0211845302	NULL	NULL	NULL
ES0211845310	NULL	NULL	NULL
