ISIN	Date
XS1088274169	2017-06-23
XS1088274672	2017-06-23
XS1144492532	2017-06-23
XS1571982468	2017-06-23
XS0859920406	2017-06-23
XS0951567030	2017-06-23
XS1004874621	2017-06-23
XS1195347478	2017-06-23
XS1581375182	2017-06-23
XS0763122578	2017-06-23
XS1402941790	2017-06-23
XS1613121422	2017-06-23
ES0211845203	2017-06-23
ES0211845252	2017-06-23
ES0211845260	2017-06-23
ES0211845294	2017-06-23
ES0211845302	2017-06-23
ES0211845310	2017-06-23
XS0495012428	2017-06-23
XS0970840095	2017-06-23
XS1087831688	2017-06-23
XS1508912646	2017-06-23
XS0995111761	2017-06-23
XS1237184533	2017-06-23
XS1527526799	2017-06-23
XS0805452405	2017-06-23
XS1529854793	2017-06-23
XS1004236185	2017-06-23
XS1627947440	2017-06-23
FR0010908905	2017-06-23
FR0011344076	2017-06-23
FR0011521277	2017-06-23
FR0011951771	2017-06-23
FR0012766889	2017-06-23
FR0013153822	2017-06-23
FR0013182805	2017-06-23
FR0013182821	2017-06-23
FR0013182839	2017-06-23
FR0013182847	2017-06-23
FR0013241346	2017-06-23
FR0010948257	2017-06-23
FR0011439835	2017-06-23
XS1050846507	2017-06-23
XS1128224703	2017-06-23
XS1410582313	2017-06-23
XS1410582586	2017-06-23
XS0719962986	2017-06-23
XS1134519120	2017-06-23
XS1391625289	2017-06-23
XS0792977984	2017-06-23
XS0854759080	2017-06-23
XS1400167133	2017-06-23
DE000A1AKHB8	2017-06-23
DE000A1G0RU9	2017-06-23
DE000A1HG1J8	2017-06-23
DE000A180B72	2017-06-23
XS1323052180	2017-06-23
XS1346695437	2017-06-23
XS1322048619	2017-06-23
XS1501162876	2017-06-23
XS1616407869	2017-06-23
BE6276038419	2017-06-23
BE6285450449	2017-06-23
BE6221503202	2017-06-23
BE6243179650	2017-06-23
BE6243180666	2017-06-23
BE6258027729	2017-06-23
BE6265140077	2017-06-23
BE6265141083	2017-06-23
BE6265142099	2017-06-23
BE6291424040	2017-06-23
BE6242927075	2017-06-23
BE6257983286	2017-06-23
XS0972530561	2017-06-23
XS1405774990	2017-06-23
XS1405780963	2017-06-23
XS1527556192	2017-06-23
XS0452314536	2017-06-23
XS1014759648	2017-06-23
XS1449707055	2017-06-23
XS1558491855	2017-06-23
FR0010491720	2017-06-23
FR0010737882	2017-06-23
FR0010883058	2017-06-23
FR0011119775	2017-06-23
FR0011394907	2017-06-23
FR0011694033	2017-06-23
FR0013169885	2017-06-23
FR0013231099	2017-06-23
FR0013251170	2017-06-23
XS1205716720	2017-06-23
XS0193945655	2017-06-23
XS0542534192	2017-06-23
XS0744125302	2017-06-23
XS0828749761	2017-06-23
XS0986174851	2017-06-23
XS1316567343	2017-06-23
XS1316569638	2017-06-23
XS1327504087	2017-06-23
XS1528093799	2017-06-23
DE000A188WV3	2017-06-23
DE000A188WW1	2017-06-23
XS1023268490	2017-06-23
XS1023268573	2017-06-23
XS1135309794	2017-06-23
XS0811690550	2017-06-23
XS1121177767	2017-06-23
XS1400165350	2017-06-23
XS1619283218	2017-06-23
XS0173501379	2017-06-23
XS0653885961	2017-06-23
XS0729046218	2017-06-23
XS0860596575	2017-06-23
XS0877622034	2017-06-23
XS0968316256	2017-06-23
XS1015212811	2017-06-23
XS1015217703	2017-06-23
XS1105264821	2017-06-23
XS1105276759	2017-06-23
XS1168962063	2017-06-23
XS1168971213	2017-06-23
XS1321956333	2017-06-23
XS1363560977	2017-06-23
XS1396260520	2017-06-23
XS1396261338	2017-06-23
XS1548436473	2017-06-23
XS1548436556	2017-06-23
XS1589881272	2017-06-23
XS1589881785	2017-06-23
FR0013222494	2017-06-23
FR0010212852	2017-06-23
FR0010853226	2017-06-23
FR0010957662	2017-06-23
FR0011193515	2017-06-23
FR0011332196	2017-06-23
PTBSSBOE0012	2017-06-23
PTBSSGOE0009	2017-06-23
PTBSSIOM0015	2017-06-23
PTBSSJOM0014	2017-06-23
PTBSSLOM0002	2017-06-23
BE6254681248	2017-06-23
BE6295011025	2017-06-23
XS1405777316	2017-06-23
XS1232143310	2017-06-23
XS1232146412	2017-06-23
XS1468525057	2017-06-23
XS1551726810	2017-06-23
XS0170386998	2017-06-23
XS0946179529	2017-06-23
XS1114434167	2017-06-23
XS1291367313	2017-06-23
XS1485608118	2017-06-23
XS0944362812	2017-06-23
XS1377682676	2017-06-23
XS1493428426	2017-06-23
XS1577586321	2017-06-23
XS1627193359	2017-06-23
FR0010327007	2017-06-23
FR0013201126	2017-06-23
FR0013201134	2017-06-23
XS0953199634	2017-06-23
XS0969344083	2017-06-23
XS1529561182	2017-06-23
XS1377745937	2017-06-23
XS1377763161	2017-06-23
XS1505896735	2017-06-23
XS0375220588	2017-06-23
XS1419674525	2017-06-23
DE000A1MLXN3	2017-06-23
DE000A1PGQY7	2017-06-23
DE000A1PGWA5	2017-06-23
DE000A1R0TN7	2017-06-23
DE000A1R04X6	2017-06-23
DE000A1R0691	2017-06-23
DE000A1TNJ97	2017-06-23
DE000A1TNK86	2017-06-23
DE000A1X3GC3	2017-06-23
DE000A2AAL23	2017-06-23
DE000A2AAL31	2017-06-23
DE000A2DADM7	2017-06-23
DE000A11QSB8	2017-06-23
DE000A169G07	2017-06-23
DE000A169G15	2017-06-23
DE000A169NA6	2017-06-23
DE000A169NB4	2017-06-23
DE000A169NC2	2017-06-23
DE000A168650	2017-06-23
DE000A19EJE0	2017-06-23
DE000A19HBM3	2017-06-23
FR0012432904	2017-06-23
FR0013216884	2017-06-23
BE0002189554	2017-06-23
XS0559434351	2017-06-23
DE000A0T7J03	2017-06-23
XS0164831843	2017-06-23
XS0452868788	2017-06-23
XS0515937406	2017-06-23
XS0524471355	2017-06-23
XS0554975325	2017-06-23
XS0632241112	2017-06-23
XS0753143709	2017-06-23
XS0856032213	2017-06-23
XS0969368934	2017-06-23
XS0988384904	2017-06-23
XS1045386494	2017-06-23
XS1309518998	2017-06-23
XS1316420089	2017-06-23
XS1372911690	2017-06-23
XS1441837546	2017-06-23
XS1451539487	2017-06-23
XS1493724584	2017-06-23
DE000A1R1BC6	2017-06-23
DE000A1RE1W1	2017-06-23
DE000A1684V3	2017-06-23
XS1109110251	2017-06-23
XS0862941506	2017-06-23
XS0862952297	2017-06-23
XS0977496636	2017-06-23
XS0977500767	2017-06-23
XS1388661651	2017-06-23
XS1388661735	2017-06-23
XS0795872901	2017-06-23
XS0795877454	2017-06-23
XS0441740817	2017-06-23
XS0494953820	2017-06-23
XS0503603267	2017-06-23
XS0525787874	2017-06-23
XS0847580353	2017-06-23
XS0850057588	2017-06-23
XS0875796541	2017-06-23
XS0875797515	2017-06-23
XS1382791975	2017-06-23
XS1382792197	2017-06-23
XS1396830058	2017-06-23
XS1557095459	2017-06-23
XS1557095616	2017-06-23
XS1557096267	2017-06-23
XS1617898363	2017-06-23
XS1250867642	2017-06-23
XS1088135634	2017-06-23
XS1400342587	2017-06-23
XS1589970968	2017-06-23
XS0322977223	2017-06-23
XS0347908096	2017-06-23
XS0361244667	2017-06-23
BE0002481563	2017-06-23
BE6212766131	2017-06-23
BE6228266902	2017-06-23
XS1492685885	2017-06-23
FR0012599892	2017-06-23
FR0013247202	2017-06-23
XS0557897203	2017-06-23
XS0223447227	2017-06-23
XS0399353506	2017-06-23
XS0831842645	2017-06-23
XS0970695572	2017-06-23
XS0995380580	2017-06-23
XS1057345651	2017-06-23
XS1111324700	2017-06-23
XS1222590488	2017-06-23
XS1385395121	2017-06-23
XS1471646965	2017-06-23
XS1558083652	2017-06-23
XS0235372140	2017-06-23
XS1292352843	2017-06-23
XS0162990229	2017-06-23
XS0645947457	2017-06-23
BE0002432079	2017-06-23
BE0002433085	2017-06-23
BE0119550466	2017-06-23
XS0836360254	2017-06-23
XS0973806861	2017-06-23
XS1578886258	2017-06-23
XS1052843908	2017-06-23
XS1177459531	2017-06-23
XS1203859415	2017-06-23
XS1403388694	2017-06-23
XS1508831051	2017-06-23
XS0207320242	2017-06-23
XS0399861086	2017-06-23
XS1074208270	2017-06-23
XS0177089298	2017-06-23
XS0452187916	2017-06-23
XS0647298883	2017-06-23
XS0695401801	2017-06-23
XS0827692269	2017-06-23
XS0842659426	2017-06-23
XS1176079843	2017-06-23
XS1425966287	2017-06-23
XS1550149204	2017-06-23
XS0170343247	2017-06-23
XS0192503695	2017-06-23
XS0306646042	2017-06-23
XS0213737702	2017-06-23
XS0737138460	2017-06-23
XS0854400800	2017-06-23
XS1307369717	2017-06-23
XS1396367911	2017-06-23
FR0010678185	2017-06-23
FR0010709451	2017-06-23
XS0331141332	2017-06-23
XS0451457435	2017-06-23
XS0521000975	2017-06-23
XS0563739696	2017-06-23
XS0741137029	2017-06-23
XS0798555537	2017-06-23
XS0951565091	2017-06-23
XS0970852348	2017-06-23
XS0996354956	2017-06-23
XS1023703090	2017-06-23
XS1180451657	2017-06-23
XS1292988984	2017-06-23
XS1412593185	2017-06-23
XS1412711217	2017-06-23
XS1493322355	2017-06-23
XS1493328477	2017-06-23
XS1551068676	2017-06-23
XS0905658349	2017-06-23
XS1239586594	2017-06-23
XS1428782160	2017-06-23
XS1560853670	2017-06-23
XS0551935769	2017-06-23
XS1243251375	2017-06-23
XS1315101011	2017-06-23
XS1396285279	2017-06-23
FR0011339746	2017-06-23
FR0011660596	2017-06-23
FR0013184702	2017-06-23
DE000A185QA5	2017-06-23
DE000A185QB3	2017-06-23
DE000A185QC1	2017-06-23
XS0911405784	2017-06-23
XS1170787797	2017-06-23
ES0205032008	2017-06-23
ES0205032016	2017-06-23
ES0205032024	2017-06-23
XS1004118904	2017-06-23
XS0768448796	2017-06-23
FR0013170834	2017-06-23
XS1554373164	2017-06-23
XS1554373248	2017-06-23
XS1554373677	2017-06-23
XS1554373834	2017-06-23
XS0436928872	2017-06-23
XS0458749826	2017-06-23
XS0479541699	2017-06-23
XS0479542580	2017-06-23
XS0627188468	2017-06-23
XS0741942576	2017-06-23
XS0829360923	2017-06-23
XS1590568132	2017-06-23
XS0875343757	2017-06-23
XS0914400246	2017-06-23
XS0981438582	2017-06-23
XS1041934800	2017-06-23
XS1170307414	2017-06-23
XS1396767854	2017-06-23
XS1401303976	2017-06-23
XS1551446880	2017-06-23
XS1529684695	2017-06-23
XS1117297942	2017-06-23
FR0000475758	2017-06-23
XS0974877150	2017-06-23
XS1051003538	2017-06-23
XS1110430193	2017-06-23
XS1202846819	2017-06-23
XS1489184900	2017-06-23
XS1387174375	2017-06-23
XS1425274484	2017-06-23
XS1529515584	2017-06-23
DE000A0TKUU3	2017-06-23
XS0458685913	2017-06-23
XS0478803355	2017-06-23
XS0985874543	2017-06-23
XS1002933072	2017-06-23
XS1044496203	2017-06-23
XS1549372420	2017-06-23
XS1589806907	2017-06-23
XS1629387462	2017-06-23
XS0911691003	2017-06-23
XS1288852939	2017-06-23
XS1310154536	2017-06-23
XS1330434389	2017-06-23
XS1401174633	2017-06-23
XS1527192485	2017-06-23
XS1611855237	2017-06-23
XS1611167856	2017-06-23
XS0875513268	2017-06-23
XS1040041649	2017-06-23
XS1488370740	2017-06-23
XS1488418960	2017-06-23
XS0471071133	2017-06-23
XS0880764435	2017-06-23
XS0976307040	2017-06-23
XS1084043451	2017-06-23
XS1504194173	2017-06-23
XS1420337633	2017-06-23
XS1420338102	2017-06-23
XS0825829590	2017-06-23
XS0271758301	2017-06-23
XS0494868630	2017-06-23
XS1527758145	2017-06-23
XS1575444622	2017-06-23
XS0879869187	2017-06-23
XS0940711947	2017-06-23
XS0990109240	2017-06-23
XS1057055060	2017-06-23
XS1116408235	2017-06-23
XS1171541813	2017-06-23
XS1291004270	2017-06-23
XS1398476793	2017-06-23
XS1433521884	2017-06-23
XS1490726590	2017-06-23
XS1191115366	2017-06-23
XS1191116174	2017-06-23
BE0002448232	2017-06-23
BE0002478536	2017-06-23
XS0172851650	2017-06-23
XS0399647675	2017-06-23
XS0412842857	2017-06-23
XS0878010718	2017-06-23
XS0982019126	2017-06-23
XS1595704872	2017-06-23
XS1314238459	2017-06-23
XS1511781467	2017-06-23
XS1551917245	2017-06-23
XS1551917591	2017-06-23
XS1578294081	2017-06-23
DE000A1Z0TA4	2017-06-23
DE000A1Z6C06	2017-06-23
DE000A1ZSAF4	2017-06-23
DE000A19HCW0	2017-06-23
DE000A19HCX8	2017-06-23
DE000A181034	2017-06-23
AT0000A0X913	2017-06-23
FR0011236983	2017-06-23
FR0011535764	2017-06-23
FR0011584929	2017-06-23
FR0012648244	2017-06-23
FR0013165677	2017-06-23
FR0013248721	2017-06-23
XS1288849471	2017-06-23
XS0896119384	2017-06-23
XS1531060025	2017-06-23
XS0993228294	2017-06-23
XS1041772986	2017-06-23
XS1215181980	2017-06-23
XS1293087703	2017-06-23
XS1495373505	2017-06-23
XS0811124790	2017-06-23
XS1485532896	2017-06-23
XS1485533431	2017-06-23
FR0000476087	2017-06-23
FR0010586081	2017-06-23
XS1554456613	2017-06-23
FR0013073277	2017-06-23
